step,train_loss,train_mean_token_accuracy,train_error_rate,timestamp
1,2.4316844940185547,0.5607476635514018,,2026-03-09T17:43:36.3660000Z
2,2.739654064178467,0.5304347826086957,,2026-03-09T17:44:57.3430000Z
3,2.504399299621582,0.5608108108108109,,2026-03-09T17:45:06.9090000Z
4,2.336679220199585,0.5693430656934306,,2026-03-09T17:45:12.2950000Z
5,2.634004592895508,0.5364238410596026,,2026-03-09T17:45:30.3930000Z
6,2.600661516189575,0.5190839694656488,,2026-03-09T17:45:31.8770000Z
7,2.5230066776275635,0.5474452554744526,,2026-03-09T17:45:34.0220000Z
8,2.493548631668091,0.5566037735849056,,2026-03-09T17:45:35.8300000Z
9,2.5856900215148926,0.45555555555555555,,2026-03-09T17:45:42.2070000Z
10,2.69421648979187,0.5517241379310345,,2026-03-09T17:45:51.2500000Z
11,2.707395315170288,0.5310344827586206,,2026-03-09T17:45:53.1080000Z
12,2.7109451293945312,0.4961832061068702,,2026-03-09T17:45:54.9030000Z
13,2.821894407272339,0.5603448275862069,,2026-03-09T17:45:56.7300000Z
14,2.9252614974975586,0.42,,2026-03-09T17:46:02.1190000Z
15,2.6670660972595215,0.5273972602739726,,2026-03-09T17:46:04.2810000Z
16,2.5447075366973877,0.5131578947368421,,2026-03-09T17:46:05.8340000Z
17,2.7242701053619385,0.449438202247191,,2026-03-09T17:46:07.7010000Z
18,2.754192590713501,0.5304347826086957,,2026-03-09T17:46:09.2520000Z
19,2.539398431777954,0.45555555555555555,,2026-03-09T17:46:11.1090000Z
20,2.705233335494995,0.4806201550387597,,2026-03-09T17:46:12.9260000Z
21,2.6262879371643066,0.5625,,2026-03-09T17:46:14.7450000Z
22,2.4236016273498535,0.5147058823529411,,2026-03-09T17:46:16.6050000Z
23,2.6377251148223877,0.5431034482758621,,2026-03-09T17:46:18.4590000Z
24,2.5598766803741455,0.44554455445544555,,2026-03-09T17:46:20.2800000Z
25,2.534599781036377,0.4777777777777778,,2026-03-09T17:46:21.8380000Z
26,2.6758694648742676,0.44554455445544555,,2026-03-09T17:46:23.6590000Z
27,2.387634515762329,0.5394736842105263,,2026-03-09T17:46:25.5150000Z
28,2.6637587547302246,0.45454545454545453,,2026-03-09T17:46:27.3420000Z
29,2.2307310104370117,0.5547445255474452,,2026-03-09T17:46:29.1960000Z
30,2.5878286361694336,0.5603448275862069,,2026-03-09T17:46:30.7070000Z
31,2.2924118041992188,0.525,,2026-03-09T17:46:38.0140000Z
32,2.194905996322632,0.5327102803738317,,2026-03-09T17:46:39.5320000Z
33,2.523547887802124,0.47191011235955055,,2026-03-09T17:46:41.3520000Z
34,2.206214666366577,0.5761589403973509,,2026-03-09T17:46:42.9140000Z
35,2.436368703842163,0.5811965811965812,,2026-03-09T17:46:44.7530000Z
36,2.618191719055176,0.45454545454545453,,2026-03-09T17:46:46.6060000Z
37,2.3428661823272705,0.5811965811965812,,2026-03-09T17:46:48.4760000Z
38,2.4733970165252686,0.5517241379310345,,2026-03-09T17:46:50.0240000Z
39,2.338143825531006,0.5193798449612403,,2026-03-09T17:46:51.8760000Z
40,2.4951634407043457,0.5,,2026-03-09T17:46:53.7070000Z
41,2.497504711151123,0.4777777777777778,,2026-03-09T17:46:55.5570000Z
42,2.4490854740142822,0.5478260869565217,,2026-03-09T17:46:57.1070000Z
43,1.9779503345489502,0.616822429906542,,2026-03-09T17:46:58.9400000Z
44,2.142190456390381,0.4957983193277311,,2026-03-09T17:47:00.7720000Z
45,2.1704890727996826,0.5271317829457365,,2026-03-09T17:47:02.6190000Z
46,2.312471389770508,0.5652173913043478,,2026-03-09T17:47:04.4740000Z
47,2.378816843032837,0.5565217391304348,,2026-03-09T17:47:06.0200000Z
48,1.9719862937927246,0.5827814569536424,,2026-03-09T17:47:07.8660000Z
49,2.003549575805664,0.5918367346938775,,2026-03-09T17:47:09.7120000Z
50,1.9198731184005737,0.5566037735849056,,2026-03-09T17:47:11.5290000Z
51,2.2521679401397705,0.5897435897435898,,2026-03-09T17:47:13.3940000Z
52,1.8120927810668945,0.5855263157894737,,2026-03-09T17:47:15.2480000Z
53,2.2952468395233154,0.49504950495049505,,2026-03-09T17:47:17.1100000Z
54,2.146883487701416,0.4606741573033708,,2026-03-09T17:47:18.9630000Z
55,2.0102169513702393,0.5348837209302325,,2026-03-09T17:47:20.5120000Z
56,1.86882483959198,0.5849056603773585,,2026-03-09T17:47:22.3590000Z
57,1.9062401056289673,0.5384615384615384,,2026-03-09T17:47:24.2010000Z
58,1.956734538078308,0.5833333333333334,,2026-03-09T17:47:25.7480000Z
59,1.7248011827468872,0.5981308411214953,,2026-03-09T17:47:27.5850000Z
60,1.6516902446746826,0.6187845303867403,,2026-03-09T17:47:35.7310000Z
61,2.026644468307495,0.591304347826087,,2026-03-09T17:47:37.2830000Z
62,2.0311222076416016,0.5862068965517241,,2026-03-09T17:47:39.1360000Z
63,2.047339916229248,0.5,,2026-03-09T17:47:41.2780000Z
64,1.8369039297103882,0.5348837209302325,,2026-03-09T17:47:42.5490000Z
65,1.7049367427825928,0.5921052631578947,,2026-03-09T17:47:44.3660000Z
66,1.814570665359497,0.5348837209302325,,2026-03-09T17:47:46.2210000Z
